id,title,authors,year,venue,database,search_string,doi,url
"GS024","Unit test generation using large language models: A systematic literature review","DM Zapkus, A Slotkienė","2024","... ir IT tyrimai: konferencijos darbai, 2024 ...","Google Scholar","String B","10.15388/lmitt.2024.20","https://epublications.vu.lt/object/elaba:198450771/"
"GS025","Unit test generation using large language models for unity game development","C Paduraru, A Stefanescu, A Jianu","2024","Proceedings of the 1st ACM ...","Google Scholar","String B","10.1145/3663532.3664466","https://dl.acm.org/doi/abs/10.1145/3663532.3664466"
"GS026","AgoneTest: Automated creation and assessment of Unit tests leveraging Large Language Models","A Lops, F Narducci, A Ragone, M Trizio","2024","... Conference on Automated ...","Google Scholar","String B","10.1145/3691620.3695318","https://dl.acm.org/doi/abs/10.1145/3691620.3695318"
"GS027","Automatic Unit Test Generation for Programming Assignments Using Large Language Models","K Zheng, Y Shen, Y Tao","2025","2025 IEEE/ACM 37th International ...","Google Scholar","String B","10.1109/cseet66350.2025.00031","https://ieeexplore.ieee.org/abstract/document/11024401/"
"GS028","Harnessing large language models for automated software testing: A leap towards scalable test case generation","S Rehan, B Al-Bander, A Al-Said Ahmad","2025","Electronics","Google Scholar","String B","10.3390/electronics14071463","https://www.mdpi.com/2079-9292/14/7/1463"
"GS029","Llms and prompting for unit test generation: A large-scale evaluation","WC Ouedraogo, K Kabore, H Tian, Y Song...","2024","... on Automated Software ...","Google Scholar","String B","10.1145/3691620.3695330","https://dl.acm.org/doi/abs/10.1145/3691620.3695330"
"GS030","Harnessing the power of llms: Automating unit test generation for high-performance computing","R Karanjai, A Hussain, MRI Rabin, L Xu, W Shi...","2024","arXiv preprint arXiv ...","Google Scholar","String B","10.48550/arXiv.2407.05202","https://arxiv.org/abs/2407.05202"
"GS031","Parameter-efficient fine-tuning of large language models for unit test generation: An empirical study","A Storhaug, J Li","2024","arXiv preprint arXiv:2411.02462","Google Scholar","String B","10.48550/arXiv.2411.02462","https://arxiv.org/abs/2411.02462"
"GS032","Exploring the capability of ChatGPT in test generation","G Yi, Z Chen, Z Chen, WE Wong...","2023","2023 IEEE 23rd ...","Google Scholar","String B","10.1109/qrs-c60940.2023.00013","https://ieeexplore.ieee.org/abstract/document/10429996/"
"GS033","CubeTesterAI: Automated JUnit Test Generation Using the LLaMA Model","D Gorla, S Kumar, PNR Lorenzini...","2025","... on Software Testing ...","Google Scholar","String B","10.1109/icst62969.2025.10988978","https://ieeexplore.ieee.org/abstract/document/10988978/"
"GS034","Chatunitest: A framework for llm-based test generation","Y Chen, Z Hu, C Zhi, J Han, S Deng, J Yin","2024","Companion Proceedings of ...","Google Scholar","String B","10.1145/3663529.3663801","https://dl.acm.org/doi/abs/10.1145/3663529.3663801"
"GS035","Acceptance test generation with large language models: An industrial case study","M Ferreira, L Viegas, JP Faria...","2025","... of Software Test (AST)","Google Scholar","String B","10.1109/ast66626.2025.00007","https://ieeexplore.ieee.org/abstract/document/11081451/"
"GS036","Reinforcement learning from automatic feedback for high-quality unit test generation","B Steenhoek, M Tufano, N Sundaresan...","2025","... Testing and Testing ...","Google Scholar","String B","10.1109/deeptest66595.2025.00011","https://ieeexplore.ieee.org/abstract/document/11026897/"
"GS037","Automated test case generation from software requirements using ChatGPT: A comparison of generative methods in black-box unit testing","A Andersson, A Malmeling","2024","N/A","Google Scholar","String B","","https://www.diva-portal.org/smash/get/diva2:1917788/FULLTEXT01.pdf"
"GS038","Java unit testing with ai: An ai-driven prototype for unit test generation","K Kahur, J Su","2023","N/A","Google Scholar","String B","","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1778114"
"GS039","An empirical study of unit test generation with large language models","L Yang, C Yang, S Gao, W Wang, B Wang, Q Zhu...","2024","arXiv preprint arXiv ...","Google Scholar","String B","","N/A"
"GS040","Automated Unit Test Generation for the Google Test Framework Using Large Language Models: An Industrial Case Study","A Lundberg","2024","N/A","Google Scholar","String B","","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1884076"
"GS041","Software testing with large language models: Survey, landscape, and vision","J Wang, Y Huang, C Chen, Z Liu...","2024","... on Software ...","Google Scholar","String C","10.1109/tse.2024.3368208","https://ieeexplore.ieee.org/abstract/document/10440574/"
"GS042","A comprehensive study on large language models for mutation testing","B Wang, M Chen, M Deng, Y Lin, M Harman...","2026","... on Software ...","Google Scholar","String C","10.1145/3805038","https://dl.acm.org/doi/abs/10.1145/3805038"
"GS043","Mutation-based consistency testing for evaluating the code understanding capability of llms","Z Li, D Shin","2024","... on AI Engineering-Software Engineering for AI","Google Scholar","String C","10.1145/3644815.3644946","https://dl.acm.org/doi/abs/10.1145/3644815.3644946"
"GS044","Integration of mutation testing into unit test generation using large language models","A Kovtko, V Savkiv, H Kozbur, I Kozbur...","2025","Proceedings of the CITI ...","Google Scholar","String C","","https://ceur-ws.org/Vol-4057/paper4.pdf"
"GS045","Mutation testing via iterative large language model-driven scientific debugging","P Straubinger, M Kreis, S Lukasczyk...","2025","... on Software Testing ...","Google Scholar","String C","10.1109/icstw64639.2025.10962485","https://ieeexplore.ieee.org/abstract/document/10962485/"
"GS046","Evaluating LLM-Generated Unit Tests with Mutation Testing: ChatGPT vs DeepSeek","PFM Cabral, JPS Arruda, CRB de Souza...","2025","... Qualidade de Software ...","Google Scholar","String C","10.5753/sbqs.2025.13792","https://sol.sbc.org.br/index.php/sbqs/article/view/39001"
"GS047","Exploring Test Suite Coverage of Large Language Model-Enhanced Unit Test Generation","A Dragoi","2024","N/A","Google Scholar","String C","","https://repository.tudelft.nl/file/File_51e9ae71-24e0-4eed-be48-0b7728d17d71"
"GS048","On the Use of Large Language Models in Mutation Testing","BO WANG, M CHEN, Y LIN, M PAPADAKIS, J ZHANG","2024","arXiv preprint arXiv ...","Google Scholar","String C","","N/A"
"GS049","Large language models and software testing","M Dewey","2024","N/A","Google Scholar","String C","10.1016/j.csi.2024.103942","https://scholar.sun.ac.za/server/api/core/bitstreams/ed3a0d90-749c-420d-9d25-a8909f8ad192/content"
"GS050","Llmorpheus: Mutation testing using large language models","F Tip, J Bell, M Schäfer","2025","IEEE Transactions on Software ...","Google Scholar","String C","10.1109/tse.2025.3562025","https://ieeexplore.ieee.org/abstract/document/10977824/"
"GS051","An exploratory study on using large language models for mutation testing","B Wang, M Chen, Y Lin, M Papadakis, JM Zhang","2024","arXiv preprint arXiv:2406.09843","Google Scholar","String C","","N/A"
"GS052","Exploiting Test Structure to Enhance Language Models for Software Testing","K Jain","2025","N/A","Google Scholar","String C","","http://reports-archive.adm.cs.cmu.edu/anon/anon/home/ftp/usr0/ftp/s3d2025/CMU-S3D-25-100.pdf"
"GS053","An LLM-based framework for automated Python test generation and mutation testing evaluation","S Nafis, AA Walid, AS Anuja","2025","N/A","Google Scholar","String C","","https://dspace.bracu.ac.bd/xmlui/handle/10361/26750"
"GS054","Mutation-guided llm-based test generation at meta","M Harman, J Ritchey, I Harper, S Sengupta...","2025","... of Software ...","Google Scholar","String C","10.1145/3696630.3728544","https://dl.acm.org/doi/abs/10.1145/3696630.3728544"
"GS055","GEM: A Framework for Strengthening LLM-Generated Unit Tests Using Mutation Feedback","A Celik, QH Mahmoud","2026","... Ibero-Americano em Engenharia de Software ...","Google Scholar","String C","10.5753/cibse.2026.42441","https://sol.sbc.org.br/index.php/cibse/article/view/42441"
"GS056","Effectiveness of software testing suites in regards to a microservice environment: Using mutation testing to analyze and evaluate unit testing in a software development ...","A Ärnbäck","2025","N/A","Google Scholar","String C","","https://www.diva-portal.org/smash/record.jsf?pid=diva2:1948932"
"GS057","Test vs Mutant: Adversarial LLM Agents for Robust Unit Test Generation","P Chang, Y Fang, S Chen, Y Shi, B Shen...","2026","arXiv preprint arXiv ...","Google Scholar","String C","10.48550/arXiv.2602.08146","https://arxiv.org/abs/2602.08146"
"GS058","Mutation Testing of Simulink Models using Large Language Models","J Zhang","2024","N/A","Google Scholar","String C","","https://ruor.uottawa.ca/items/3265de74-b6b3-42c1-823e-7484071110c8"
"GS059","Advancing code coverage: Incorporating program analysis with large language models","C Yang, J Chen, B Lin, Z Wang, J Zhou","2026","ACM Transactions on Software ...","Google Scholar","String C","10.1145/3748505","https://dl.acm.org/doi/abs/10.1145/3748505"
"GS060","Intent-Based Mutation Testing: From Naturally Written Programming Intents to Mutants","A Hamidi, A Khanfir...","2025","... on Software Testing ...","Google Scholar","String C","10.1109/icstw64639.2025.10962508","https://ieeexplore.ieee.org/abstract/document/10962508/"
